Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Ferguson H., Wheat K.L.",Early career academic mentoring using Twitter: the case of #ECRchat,2015,Journal of Higher Education Policy and Management,13,10.1080/1360080X.2014.991533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924282089&doi=10.1080%2f1360080X.2014.991533&partnerID=40&md5=f2488e2990d39b7beda29ab6d4ab2ebb,"Early career academics around the world frequently see themselves as being in need of targeted career support to navigate the years directly following PhD graduation. The growth of discussion groups on Twitter that target these users raises questions about their potential usefulness to address career development support needs. This paper reflects on the authors’ experiences of starting a career development discussion group via Twitter for early career academics. Drawing on the group’s tweets during its first year, we explore its role as a peer-mentoring forum that provides opportunities for support and knowledge sharing. We conclude that online communities like #ECRchat can be an important source of support, but that the norms developed within them may also individualise struggles and impose additional kinds of work on participants. © 2015, © 2015 Association for Tertiary Education Management and the LH Martin Institute for Tertiary Education Leadership and Management.",higher education; mentoring; research training; research workforce; social media; working cultures,
"Butz N.T., Stupnisky R.H.",Improving student relatedness through an online discussion intervention: The application of self-determination theory in synchronous hybrid programs,2017,Computers and Education,11,10.1016/j.compedu.2017.06.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021754839&doi=10.1016%2fj.compedu.2017.06.006&partnerID=40&md5=365661b2555b9a5e75e8eb1ef58a41d7,"Students' feelings of relatedness (i.e., feeling connected to others) are crucial for success in any learning environment; however, online courses often limit relatedness development, either by removing spontaneous interaction (e.g., asynchronous delivery) or by introducing seemingly incompatible online and on-campus factions (e.g., synchronous hybrid delivery). It was hypothesized that the strengths of one delivery mode could offset the weaknesses of the other. The purpose of this study was to implement and evaluate an online discussion board intervention designed to scaffold relatedness development. Deci and Ryan's (1985) self-determination theory was adopted as the theoretical framework. Participants were 83 graduate students enrolled in synchronous hybrid Masters of Business Administration (MBA), Masters of Public Administration (MPA), and Masters of Aviation (MS-Avit) programs offered at a large midwestern research university. This study used a convergent parallel mixed methods approach (QUAN + qual = triangulation). The methods involved a pretest-posttest experimental design in which students were randomly assigned to either the experimental group, wherein they participated in the intervention, or the control group, wherein they attended classes without any auxiliary interactions. The results indicated that students who participated in the intervention improved their self-efficacy for developing relatedness with individuals who attended online. The qualitative analysis generated three key themes: relatedness beliefs, program delivery, and student-interface interaction. This study holds practical implications for online learning in that it explicated how a threaded discussion can be used to scaffold relatedness development. The theoretical implications of this study involved the substantiation of three key elements of SDT: the basic needs, the types of motivation, and the importance of contextual support. © 2017 Elsevier Ltd",Computer-mediated communication; Distance education and telelearning; Distributed learning environments; Post-secondary education,Application programs; Computer aided instruction; Distance education; Distributed computer systems; E-learning; Education; Public administration; Scaffolds; Social networking (online); Business administration; Computer mediated communication; Distance education and tele-learning; Distributed learning environments; Learning environments; Postsecondary education; Self-determination theories; Spontaneous interaction; Students
"Lai H.-M., Hsiao Y.-L., Hsieh P.-J.","The role of motivation, ability, and opportunity in university teachers’ continuance use intention for flipped teaching",2018,Computers and Education,10,10.1016/j.compedu.2018.05.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047270808&doi=10.1016%2fj.compedu.2018.05.013&partnerID=40&md5=893e2c72db001241a14bdc3efa3df165,"On-site teaching practice is changing due to the development of digital technology. Traditional lecturing has long focused on instructor-based teaching but now has transitioned to a flipped classroom that emphasizes student learning. In the past, quasi-experimental methods or qualitative interviews were primarily used to explore learners' learning performance, learning satisfaction, and the interaction between teachers and students. Studies on teachers' points of view are rare, as are studies on factors that influence teachers to continue flipped teaching. Thus, the empirical results of this innovative teaching strategy must be assessed to confirm the expectations of practice and theory. Drawing on theories of self-determination and motivation-opportunity-ability, this paper proposes and empirically supports the notion that teachers' motivational factors, perceived self-efficacy, and supportive flipped teaching resources interact to perpetuate flipped teaching in the higher education context. To test the proposed research model, a survey was conducted among 169 university teachers. The results indicate that intrinsic challenge motivation and extrinsic compensation motivation are critical predictors of teachers' continuance use intention for flipped teaching. Perceived self-efficacy was also shown to critically moderate teachers' continuance use intention for flipped teaching. Specifically, when teachers have high perceived self-efficacy, challenge motivation leads to continuance use intention. Conversely, when teachers have low perceived self-efficacy, compensation motivation leads to continuance intention. Further, the results also suggest that teachers’ continuance use intention for flipped teaching is highest when challenge motivation, perceived self-efficacy, and supportive flipped teaching resources are all sufficient and mutually reinforcing. © 2018 Elsevier Ltd",Computer-mediated communication; Improving classroom teaching; Interactive learning environments; Pedagogical issues; Teaching/learning strategies,Computer aided instruction; Education computing; Learning systems; Motivation; Students; Computer mediated communication; Improving classroom teaching; Interactive learning environment; Pedagogical issues; Teaching/learning strategy; Teaching
"Gan C.L., Balakrishnan V.",Enhancing classroom interaction via IMMAP - An Interactive Mobile Messaging App,2017,Telematics and Informatics,9,10.1016/j.tele.2016.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969174621&doi=10.1016%2fj.tele.2016.05.007&partnerID=40&md5=51c0bde974ce0020e1f1976df53b2294,"Large classes are prevalent in many higher learning institutions. Drawbacks of large classes over smaller ones include the reduction of quality student-lecturer interactions, and prevalence of teacher-centered approach to learning. Given these constraints, using mobile messaging apps can ease student-lecturer interactions beyond those attainable in face to face classes. As such, the main proposition of this study is to investigate the effectiveness of using an Interactive Mobile Messaging App (IMMAP) in classrooms of higher education for supporting student-lecturer interactions. The key predictors identified from the Interactive Mobile Messaging Acceptance model were used as a guide to design and develop IMMAP. The predictors are perceived ease of use, perceived usefulness, self-efficacy, enjoyment, system quality, information quality, and uncertainty avoidance The pretest-posttest design where participants are studied before and after the experiment concluded was used in this study. Students' perceptions of IMMAP in relation to their adoption intention were obtained using both pretest and posttest surveys. A total of 38 students from two different courses evaluated IMMAP. Findings revealed significant changes on a number of indicators. Uncertainty avoidance level decreased significantly (higher positive score) from pretest to posttest, while system quality increased. In terms of enjoyment, a significant decrease was observed from pretest to posttest. Adoption intention of IMMAP saw a significant increase. The findings reflect students' readiness to use IMMAP in the classrooms to interact with their lecturers. Therefore, investing in the development of mobile messaging apps has the potential to improve the quality of student-lecturer interactions in the classrooms. © 2016 Elsevier Ltd.",Blended learning; Computer-mediated communication; Higher education; Improving classroom teaching; Interactive learning environments,Computer aided instruction; Education; Education computing; Teaching; Blended learning; Computer mediated communication; Higher education; Improving classroom teaching; Interactive learning environment; Students
"Sobaih A.E.E., Moustafa M.A.",Speaking the Same Language: The Value of Social Networking Sites for Hospitality and Tourism Higher Education in Egypt,2016,Journal of Hospitality and Tourism Education,9,10.1080/10963758.2015.1127169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955126431&doi=10.1080%2f10963758.2015.1127169&partnerID=40&md5=7fb9861f17df0be1847ac754937ecda7,"This research investigates the value of using social networking sites (SNSs) in hospitality and tourism higher education in developing countries through a case study of students enrolled in the Colleges of Tourism and Hotel Management in Egypt. Students’ perceptions were identified via self-administered questionnaire. The results showed that although there were some statistical differences between different groups as well as their perceptions about using SNSs, there was consensus that SNSs have a value for academic-related purposes. SNSs have a great potential for hospitality and tourism higher education in developing countries where communication technology and formal electronic methods, such as Blackboards, university e-mails, and student blogs are not used adequately for teaching and learning. Hospitality and tourism education policy makers may respond to students’ use of SNSs by developing online communities and encourage individuals to participate in these social platforms to share their knowledge and experience with others. © 2016 The International Council on Hotel, Restaurant, and Institutional Education.",Developing countries; Egypt; Generation Y; higher education; social media; social networking sites,
"Brech F.M., Messer U., Vander Schee B.A., Rauschnabel P.A., Ivens B.S.",Engaging fans and the community in social media: interaction with institutions of higher education on Facebook,2017,Journal of Marketing for Higher Education,8,10.1080/08841241.2016.1219803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986196647&doi=10.1080%2f08841241.2016.1219803&partnerID=40&md5=7f905ca6aeddfd53808f5c40a82196b7,"Although many universities use social media to interact with stakeholders, little is known about the underlying mechanisms. Drawing on theories of self-presentation and community engagement, we develop a theoretical model to explain these crucial outcome factors. We then test the model based on secondary data from 159 universities. Our findings reveal the double-edged nature of community size: universities with a strong reputation tend to have more Facebook fans, but having many Facebook fans has detrimental effects on individual fan engagement. Furthermore, the frequency of updates is a crucial factor, as too frequent and too infrequent updates lead to lower levels of fan engagement. We discuss theoretical implications for online communities and derive implications for social media managers. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",community engagement; higher education; Social media marketing,
"Topaloglu M., Caldibi E., Oge G.",The scale for the individual and social impact of students' social network use: The validity and reliability studies,2016,Computers in Human Behavior,8,10.1016/j.chb.2016.03.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961734860&doi=10.1016%2fj.chb.2016.03.036&partnerID=40&md5=3adc8d343f68b7397cb4b9dea28d7f70,"In this paper, validity and reliability studies of the scale that aims to measure the social network use, the purpose of social networks use and the preferences of the university students between social life and social networks with the positive and negative effects on their lives were presented. SPSS 20 program was utilized for the descriptive statistics, factor, reliability, items analyses and the correlation coefficients calculations. According to the results of the factor analyses done to test the structural validity of the scale, 13 items were grouped under two factors and it explained %59.572 of the total variance of the scale. Internal consistency coefficient for the whole scale was found 0.882 after the reliability analysis was done. While there was positive and moderate relation between the factor total scores, there was a high relation found between all the factors and the scale as a whole. The findings of this study show that the scale is quite valid and reliable. © 2016 Elsevier Ltd. All Rights Reserved.. All Rights Reserved.",Computer-mediated communication; Human-computer interface; Learning communities; Lifelong learning; Media in education,Factor analysis; Human computer interaction; Reliability; Social networking (online); Computer mediated communication; Human computer interfaces; Learning community; Life long learning; Media in education; Reliability analysis; calculation; correlation coefficient; data analysis software; factorial analysis; human; human experiment; internal consistency; reliability; social life; social network; statistics; student; university student; validity
Ng E.M.W.,Integrating self-regulation principles with flipped classroom pedagogy for first year university students,2018,Computers and Education,6,10.1016/j.compedu.2018.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049476320&doi=10.1016%2fj.compedu.2018.07.002&partnerID=40&md5=06766d8f762d0325760efa6f594b4fab,"Flipped classroom is a new blended type of pedagogy. This study attempts to examine whether flipped classroom, with reference to self-regulation principles, is a good pedagogy for enhancing formative learning outcomes for first year university students. A total of 73 students, enrolled on a teacher education program, participated in this study. Data were collected from different sources in three phases. In the first phase, data were collected from pre- and post-tests, and the number of viewings of the assigned online videos were logged. Techniques in editing images applied by the group and the individual were examined in the second phase. Finally, opinions related to flipped classroom were collected from focus group interviews in the third phase. The results suggest that students are able to apply their self-learned knowledge to editing images both together and individually. They were very positive about flipped classroom activities and all 7 self-regulated (SR) learning principles were achieved. While students embraced the flexibility of learning online, they missed the face-to-face interaction with the teacher and their learning peers. This was especially the case when they did not understand the content of the online videos. This study provides an additional lens of SR principles. © 2018",Computer-mediated communication; Improving classroom teaching; Post-secondary education; Teaching/learning strategies,Deregulation; Teaching; Computer mediated communication; Face-to-face interaction; Flipped classrooms; Improving classroom teaching; Postsecondary education; Teacher education; Teaching/learning strategy; University students; Students
Berry S.,Student support networks in online doctoral programs: Exploring nested communities,2017,International Journal of Doctoral Studies,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019767733&partnerID=40&md5=ff2a8d6abfc7ed7ea39990af9501534c,"Aim/Purpose Enrollment in online doctoral programs has grown over the past decade. A sense of community, defined as feelings of closeness within a social group, is vital to retention, but few studies have explored how online doctoral students create community. Background In this qualitative case study, I explore how students in one online doctoral program created a learning community. Methodology Data for the study was drawn from 60 hours of video footage from six online courses, the message boards from the six courses, and twenty interviews with first and second-year students. Contribution Findings from this study indicate that the structure of the social network in an online doctoral program is significantly different from the structure of learning communities in face-To-face programs. In the online program, the doctoral community was more insular, more peer-centered, and less reliant on faculty support than in in-person programs. Findings Utilizing a nested communities theoretical framework, I identified four subgroups that informed online doctoral students' sense of community: cohort, class groups, small peer groups, and study groups. Students interacted frequently with members of each of the aforementioned social groups and drew academic, social, and emotional support from their interactions. Recommendations for Practitioners Data from this study suggests that online doctoral students are interested in making social and academic connections. Practitioners should leverage technology and on-campus supports to promote extracurricular interactions for online students. Recommendation for Researchers Rather than focus on professional socialization, students in the online doctoral community were interested in providing social and academic support to peers. Researchers should consider how socialization in online doctoral programs differs from traditional, face-To-face programs. Impact on Society As universities increase online offerings, it is important to consider the issues that impact retention in online programs. By identifying the social structures that support online community, this study helps build knowledge around retention and engagement of online students. Future Research Future research should continue to explore the unique social networks that support online students.",Cohort; Community; Online learning; Social network; Socialization; Virtual classrooms,
"MacInnis C.C., Hodson G.",The development of online cross-group relationships among university students: Benefits of earlier (vs. later) disclosure of stigmatized group membership,2015,Journal of Social and Personal Relationships,6,10.1177/0265407514548394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939221135&doi=10.1177%2f0265407514548394&partnerID=40&md5=25e5ed035e8baed603f8adf9a496e580,"With our social lives increasingly experienced online, it is critical to understand online relationship development. The current study examined the outcomes of disclosing stigmatized group membership (i.e., being gay or lesbian) earlier (vs. later) in a developing online relationship. Heterosexuals (n = 214) engaged in an experimentally controlled closeness-inducing online interaction with an ostensible partner, learning that he/she was gay/lesbian either before (i.e., earlier) or after (i.e., later) the interaction. Earlier (vs. later) discovery led to a subjectively more positive contact experience, which predicted heightened bond with the partner, itself predicting more positive attitudes toward the partner. Outcomes were uninfluenced by pretest biases and authoritarianism, suggesting the general benefits of disclosing gay/lesbian identity earlier (vs. later) in online relationships. © 2014, © The Author(s) 2014.",Computer-mediated communication; cross-group relationships; gay men and lesbians; online interactions,
"Molinillo S., Aguilar-Illescas R., Anaya-Sánchez R., Vallespín-Arán M.","Exploring the impacts of interactions, social presence and emotional engagement on active collaborative learning in a social web-based environment",2018,Computers and Education,5,10.1016/j.compedu.2018.04.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046731654&doi=10.1016%2fj.compedu.2018.04.012&partnerID=40&md5=e4d76beec9454188067c62a5716a2c79,"This study examines the influence of social presence, interactions (student-student and teacher-student) and emotional engagement on active learning within the context of social web-based collaborative learning (SWBCL). In order to accomplish this objective, an empirical study was conducted with 416 students from two universities, organized into groups of 4 or 5 students, who were instructed to complete a collaborative project over the course of one semester. At the end of the project, the students filled out a questionnaire and the resulting data was analyzed using the partial least squares (PLS) technique. The results suggest that social presence and teacher-student interaction have a positive influence on students’ active learning, both directly and indirectly, through emotional engagement. This variable also mediates the influence of student-student interactions, which have a less significant impact on active learning than the other analyzed variables. Consequently, this study offers important contributions to the study and practice of active learning in a SWBCL environment. © 2018 Elsevier Ltd",Computer-mediated communication; Cooperative/collaborative learning; Higher education; Interactive learning environments; Teaching/learning strategies,Artificial intelligence; Cooperative communication; Distributed computer systems; E-learning; Least squares approximations; Students; Teaching; Websites; Computer mediated communication; Cooperative/collaborative learning; Higher education; Interactive learning environment; Teaching/learning strategy; Computer aided instruction
